Series	Subseries	Box	File	Year	Month	Day	Publication Series	Document Number	Title	Scanned?	Reviewed?	Follow-up?	Subject	Keywords	Summary	Researcher Notes/Comments	Personnel
973	1	149215	51-60	1916	10	24	Bulletins (1914-1936)	51	Why does it take so much talk to get the city's business done or to keep it from being done?	yes						outlines possible steps to strenghtening the movement for centering executive responsibility in executive specialists, under the general direction of the legislative body elected by the people to concerve their interests	
973	1	149215	51-60	1916	11	2	Bulletins (1914-1936)	52	There is no one in Toronto Who does not pay taxes directly or indirectly	yes							
973	1	149215	51-60	1916	11	16	Bulletins (1914-1936)	53	The Biggest Word in Canadian Financing During the next Decade should be Thrift 	yes						Outlines how the City of Toronto's Proposed expenditures will be spent. For example board of education 3million. The outlines the services Toronto will have "bought"	
973	1	149215	51-60	1916	12	2	Bulletins (1914-1936)	54	It is worth while living in Toronto or most of us wouldn't be living here	yes							
973	1	149215	51-60	1917	1	26	Bulletins (1914-1936)	55	The estimates for the CIty of Toronto for 1916 provided for an expenditure on current account of $17,168,128.65	yes							
973	1	149215	51-60	1917	4	5	Bulletins (1914-1936)	56	The Tax Rate May be Reduced	yes						how taxation can be cut down either by increasing revenue from other sources or by developing new sources	
973	1	149215	51-60	1917	9	14	Bulletins (1914-1936)	57	Under the head of Charity and Philanthropy the citizens of Toronto, in eleven years, spent out of taxation #3,000,000	yes							
973	1	149215	51-60	1917	9	19	Bulletins (1914-1936)	58	Toronto gives story 2	yes							
973	1	149215	51-60	1917	9	26	Bulletins (1914-1936)	59	In the piping times of peace Philanthropy and Charity should be so administered as to decrease the need for them	yes						Toronto gives story 3	
973	1	149215	51-60	1917	10	3	Bulletins (1914-1936)	60	in 1915 14 representative Toronto Pilanthropies recived gifts from 6,567 persons	yes						Toronto gives story 4	
973	1	149215	61-70	1917	10	4	Bulletins (1914-1936)	61	Civil Service Reform	yes						discussion of whether civil service reform will help Toronto	
973	1	149215	61-70	1917	12	3	Bulletins (1914-1936)	62	The City Estimates for 1917: Planned for an Expenditure of $19,242,583.23 	Yes						City budget details	
973	1	149215	61-70	1918	1	17	Bulletins (1914-1936)	63	In 1918 how much are we going to raise, as a city, for current purposes? 	yes						ripped into two pieces, the second page begins with... Public Service Enterprises - Continued 	
973	1	149215	61-70	1918	1	29	Bulletins (1914-1936)	64	Help-Your-City-Suggestion-Box	yes							
973	1	149215	61-70	1918	6	20	Bulletins (1914-1936)	65	There are four certain ways of getting a municipality into financial difficulties	yes							
973	1	149215	61-70	1918	6	11	Bulletins (1914-1936)	66	High Taxation is Hard Enough to Bear... Inequitable Taxation is Not Only Hard to Bear	yes							
973	1	149215	61-70	1918	6	18	Bulletins (1914-1936)	67	Four Test Questions as to the Desirability of Any Mode of Taxation	yes							
973	1	149215	61-70	1918	6	25	Bulletins (1914-1936)	68	Is the Income Tax as we know it in Toronto...?	yes						Questions about income tax collection in Toronto	
973	1	149215	61-70	1918	11	7	Bulletins (1914-1936)	69	The Possibilities for Good of the Federation for Community Service	yes						The benefits of the Federation for Community Services regarding the influenza epidemic	
973	1	149215	81-90	1918	11	16	Bulletins (1914-1936)	70	The Assessment Question and "Public Opinion" in Toronto	yes						responses to a public survey	
973	1	149215	71-80	1918	12	27	Bulletins (1914-1936)	72	For Over Four Years Our Eyes Have Been Focused on the European Front	yes						Issues in municipal election	
973	1	149215	71-80	1919	3	21	Bulletins (1914-1936)	73	Help-Your-City-Suggestion-Box	yes							
973	1	149215	71-80	1919	5	20	Bulletins (1914-1936)	74	Effective Voting Story No. 1: Did You Vote in the Last Municipal Election?	yes							
973	1	149215	71-80	1919	5	22	Bulletins (1914-1936)	75	Education in Citizenship Story No. 1 - Helping Citizens to Grow	yes							
973	1	149215	71-80	1919	6	27	Bulletins (1914-1936)	76	Effective Voting Story No. 2 - Voting From the Citizens' Point of View	yes							
973	1	149215	71-80	1919	7	11	Bulletins (1914-1936)	77	Effective Voting Story No. 3 - Voters' Leagues in Other Cities	yes							
973	1	149215	61-70	1919	7	31	Bulletins (1914-1936)	78	Education in Citizenship - Story No. 2: The Making of Citizens Through the Home, Through the School, Through the Community at Large	yes							
973	1	149215	71-80	1919	8	19	Bulletins (1914-1936)	79	Effective Voting Story No. 4 - The Hare System of Proportional Representation or The Transferable Vote	Yes							
973	1	149215	71-80	1919	9	19	Bulletins (1914-1936)	80	Forms of City Government Story No. 1 - Commission Government	yes							
973	1	149215	81-90	1919	9	29	Bulletins (1914-1936)	81	Forms of City Government - Story No. 2: Commission-Manager or City-Manager Government	yes						ripped in two parts; second part starts with.. b - The term of offie of the Commissioners is...	
973	1	149215	81-90	1919	11	7	Bulletins (1914-1936)	82	Forms of City Government - Story No. 3: Mayor - Council - Board-of-Control Government with suggested modifciations including an Administrative Board	yes							
973	1	149215	81-90	1920	5	13	Bulletins (1914-1936)	83	Who is to be the next Commissioner of Finance? Under What Conditions is he to Work?	yes							
973	1	149215	71-80	1921	1	7	Bulletins (1914-1936)	84	Will 1921 Be a New Year in Civic Administration	yes							
973	1	149215	81-90	1921	1	24	Bulletins (1914-1936)	85	"Economy" 	yes							
973	1	149215	81-90	1921	5	31	Bulletins (1914-1936)	86	City Budget Story No. 1 - The City of Toronto as an Employer	yes						Employee expenditures in Toronto 	
973	1	149215	81-90	1921	6	17	Bulletins (1914-1936)	87	The City of Toronto as A Car Owner	yes						comparative discussion of the city's motor fleet	
973	1	149215	81-90	1921	6	24	Bulletins (1914-1936)	88	City Budget Story No. 3 	yes						per capita taxes	
973	1	149215	81-90	1921	8	16	Bulletins (1914-1936)	89	City Budget Story No. 4 - The City as School Master	yes						education expenditures in Toronto 	
973	1	149215	81-90	1921	9	23	Bulletins (1914-1936)	90	City Budget Story No. 5 - The City as a Park and Playground Manager	yes						Parks Department expenditures in Toronto	
973	1	149215	91-94	1921	10	18	Bulletins (1914-1936)	91	City budget story No 6	yes						Responcible Finances. "Should Estimates be made before any money is spent or after the expenditure has been going for some time?"	
973	1	149215	91-94	1921	12	16	Bulletins (1914-1936)	92	Control of Civic Expenditure Throught Civic Elections	yes							
973	1	149215	91-94	1922	1	12	Bulletins (1914-1936)	93	Education, Transportation, Public Health, Protection of Persons and Property, And every other Phase of Civic Betterment ar The Business of Every Citizen	yes							
973	1	149215	91-94	1936	9	18	Bulletins (1914-1936)	94	Open Letter	yes						Authors: T.G. Rogers (president), Horace L. Brittain ( Managing Director) Subject: Spending responsibly	
